Date,Description,Amount,Category
2023-07-08,"UBER CANADA/UBERTRIP, TORONTO",15.71,Transportation
2023-07-08,"Amazon.ca Prime Member, amazon.ca/pri",5.24,Amazon
2023-07-08,"STEPHENS AVE WAREHOUSE, CALGARY",25.07,Dining
2023-07-08,"SQ *MADE BY MARCUS WHYTE, Edmonton",10.0,Dining
2023-07-08,"NORTH AMERICAN MIDWAY ENT, BRANDON",5.0,Entertainment
2023-07-08,"SQ *MADE BY MARCUS WHYTE, Edmonton",10.0,Dining
2023-07-08,AIRBNB * HMT2XC4WEA,681.8,Housing
2023-07-08,"PARK ADMISSIONS, CALGARY",23.0,Entertainment
2023-07-08,AIRBNB * HMTKM38BNR,179.74,Housing
2023-07-08,"SHOWPASS* COWBOYSMU-CZ, CALGARY",341.79,Entertainment
2023-07-08,"FRESHSLICE PIZZA UNION, CALGARY",6.3,Dining
2023-07-08,"Busbud, Montreal",85.84,Transportation
2023-07-08,"FRESHSLICE PIZZA UNION, CALGARY",2.97,Dining
2023-07-07,"COSMIC PIZZA & DONAIR, EDMONTON",12.58,Dining
2023-07-05,"BREKA BAKERY & CAFE, VANCOUVER",19.43,Dining
2023-07-05,"YVR CARL'S JR, RICHMOND",10.17,Dining
2023-07-05,"JO-E CYCLES & SKIS, VANCOUVER",14.7,Entertainment
2023-07-05,"COMPASS WEB, 604-398-2042",11.25,Transportation
2023-07-05,"COMPASS WEB, 604-398-2042",0.3,Transportation
2023-07-04,"HAIDILAO HOTPOT, VANCOUVER",41.26,Dining
2023-07-04,"D'ORO GELATO E CAFFE, VANCOUVER",10.08,Dining
2023-07-04,"COMPASS WEB, 604-398-2042",11.25,Transportation
2023-07-04,"JERICHO BE* JERICHO BE, NORTH VANCOUV",38.64,Entertainment
2023-07-04,"BREKA BAKERY & CAFE, VANCOUVER",24.15,Dining
2023-07-04,"FLYOVER CANADA, VANCOUVER",39.9,Entertainment
2023-07-03,"POKERRITO - HORNBY, VANCOUVER",18.85,Dining
2023-07-03,"AQUABUS FERRY, VANCOUVER",9.0,Transportation
2023-07-03,"GROUSE MOUNTAIN, NORTH VANCOUV",20.0,Entertainment
2023-07-03,"Subway 13242, VANCOUVER",7.34,Dining
2023-07-03,"COMPASS WEB, 604-398-2042",11.25,Transportation
2023-07-03,"BREKA BAKERY & CAFE, VANCOUVER",24.15,Dining
2023-07-03,"BREKA BAKERY & CAFE, VANCOUVER",23.36,Dining
2023-07-02,"HARDY'S GROCERY, NORTH VANCOUV",19.25,Grocery
2023-07-02,"COMPASS WEB, 604-398-2042",11.25,Transportation
2023-07-02,"CAPILANO SUSPENSION BR, NORTH VANCOUV",59.8,Entertainment
2023-07-02,"BREKA BAKERY & CAFE, VANCOUVER",21.19,Dining
2023-07-01,"GRANVILLE FOOD MARKET, VANCOUVER",3.85,Transportation
2023-07-01,"COMPASS VENDING, BURNABY",20.0,Transportation
2023-07-01,"YIFANG TAIWAN FRUIT TEA, VANCOUVER",7.61,Dining
2023-07-01,"BREKA BAKERY & CAFE, VANCOUVER",10.76,Dining
2023-07-01,"TEQUILA COCINA, VANCOUVER",24.14,Dining
2023-07-01,"MENYA ITTO, VANCOUVER",19.43,Dining
2023-07-01,"7 ELEVEN STORE #33197, VANCOUVER",18.0,Dining
2023-07-01,"CAFFE SORRENTINO EDMON, EDMONTON",7.3,Dining
2023-06-30,"SHOPPERS DRUG MART #03, EDMONTON",22.04,Grocery
2023-06-30,"BROOK'S NF #3811, EDMONTON",9.13,Grocery
2023-06-30,"ASIAN FLAME, EDMONTON",16.99,Dining
2023-06-30,"SAVE ON FOODS #6662, EDMONTON",24.32,Grocery
2023-06-30,"MENCHIE'S FROZEN YOGUR, EDMONTON",17.42,Dining
2023-06-30,"Uniqlo Canada POS_CA_WEM_, Edmonton",178.0,Clothes
2023-06-29,"SHANGHAI 360, EDMONTON",16.68,Dining
2023-06-29,"SAFEWAY #8895, EDMONTON",16.96,Grocery
2023-06-28,AIRBNB * HMDD4CMPKJ,297.16,Housing
2023-06-27,AIRBNB * HMZZR85KFF,164.16,Housing
2023-06-27,"DOMINOS 10116, EDMONTON",13.64,Dining
2023-06-25,"SAFEWAY #8895, EDMONTON",26.63,Grocery
2023-06-22,"SQ *MADE BY MARCUS WHYTE, Edmonton",6.0,Dining
2023-06-21,"THE SUGAR BOWL, EDMONTON",22.3,Dining
2023-06-21,"TRIP.COM, Vancouver",494.7,Transportation
2023-06-21,AIRBNB * HM952CMJNJ,1211.65,Housing
2023-06-21,"Decathlon Canada Inc., Montreal",179.55,Sports
2023-06-20,"MOUNTAINWAREHOUSE.COM, VANCOUVER",137.88,Clothes
2023-06-17,"BELL MOBILITY, VERDUN",76.89,Subscription
2023-06-17,"BROOK'S NF #3811, EDMONTON",44.27,Grocery
2023-06-17,"UOFA RESIDENCE SERVICES O, EDMONTON",500.0,Housing
2023-06-16,"SAFEWAY #8895, EDMONTON",20.78,Grocery
2023-06-15,A MEDIUM CORPORATION Foreign Currency,6.85,Subscription
2023-06-15,Online Banking payment - 9402 UNIVERSITY OF A,745.0,Housing
2023-06-15,"SQ *YELO?D ICE CREAM AND, EDMONTON",7.88,Dining
2023-06-14,"Subway 33432, Edmonton",18.05,Dining
2023-06-14,"SQ *MADE BY MARCUS WHYTE, Edmonton",11.5,Dining
2023-06-12,"SHANGHAI 360, EDMONTON",13.95,Dining
2023-06-10,"SQ *MADE BY MARCUS WHYTE, Edmonton",20.0,Dining
2023-06-09,"TASTY HOUSE TRUE BOSS, EDMONTON",24.0,Dining
2023-06-09,GOOGLE*GOOGLE STORAGE,4.19,Subscription
2023-06-08,"SAFEWAY #8895, EDMONTON",49.14,Grocery
2023-06-08,"Amazon.ca Prime Member, amazon.ca/pri",5.24,Amazon
2023-06-08,"SQ *YELO?D ICE CREAM AND, EDMONTON",7.88,Dining
2023-06-05,"STARBUCKS 04630, EDMONTON",6.98,Dining
2023-06-03,"Subway 33432, Edmonton",19.06,Dining
2023-06-03,"CINEPLEX 8030 WEB QPS, 416-323-6600",21.01,Entertainment
2023-06-03,"BROOK'S NF #3811, EDMONTON",64.68,Grocery
2023-06-02,"HUDSONS WHYTE, EDMONTON",24.97,Dining
2023-06-02,"LASER CITY EDMONTON, EDMONTON",20.98,Entertainment
2023-06-02,"Subway 33432, Edmonton",18.05,Dining
2023-06-02,"SQ *ACTIVATE EDMONTON SOU, Edmonton",29.4,Entertainment
2023-06-01,"JERUSALEM SHAWARMA, EDMONTON",21.67,Dining
2023-06-01,"REAL CANADIAN SPRST154, EDMONTON",4.54,Grocery
2023-05-31,"Subway 33432, Edmonton",18.68,Dining
2023-05-28,"BROOK'S NF #3811, EDMONTON",85.58,Grocery
2023-05-26,"STEEL WHEELS PIZZA, EDMONTON",12.6,Dining
2023-05-26,"THE SHERLOCK HOLMES PUB, EDMONTON",22.3,Dining
2023-05-23,"BAIJIU, EDMONTON",15.99,Dining
2023-05-22,"JERUSALEM SHAWARMA, EDMONTON",28.91,Dining
2023-05-22,"SQ *YELO?D ICE CREAM AND, EDMONTON",5.78,Dining
2023-05-21,"CHOCORRANT PATISSERY, EDMONTON",5.24,Dining
2023-05-21,"Credo Coffee, Edmonton",6.0,Dining
2023-05-21,"GONG CHA EDMONTON, EDMONTON",5.76,Dining
2023-05-21,"JERUSALEM SHAWARMA, EDMONTON",24.09,Dining
2023-05-21,"JERUSALEM SHAWARMA, EDMONTON",3.69,Dining
2023-05-20,"WAL-MART SUPERCENTER#1145, EDMONTON",119.21,Grocery
2023-05-19,"CHOP SUTTON EDM-110, EDMONTON",27.77,Dining
2023-05-18,"EL BESO RESTAURANT, EDMONTON",10.38,Dining
2023-05-18,"Subway 22085, Edmonton",19.66,Dining
2023-05-16,"U OF A ONECARD, 780-492-3572",20.0,Education
2023-05-15,"TIM HORTONS #1335, EDMONTON",2.61,Dining
2023-05-11,"Y-NOT INDIAN KITCHEN & BA, EDMONTON",16.78,Dining
2023-05-11,"BROOK'S NF #3811, EDMONTON",77.75,Grocery
2023-05-09,GOOGLE*GOOGLE STORAGE,4.19,Subscription
2023-05-09,"AMZN Mktp CA*E41CQ32P3, WWW.AMAZON.CA",27.29,Amazon
2023-05-08,"Decathlon Canada Inc., Montreal",207.9,Sports
2023-05-08,"Amazon.ca Prime Member, amazon.ca/pri",5.24,Amazon
2023-05-07,"BELL MOBILITY, VERDUN",76.89,Subscription
2023-05-06,"SQ *MADE BY MARCUS WHYTE, Edmonton",7.0,Dining
2023-05-06,"DONAIR & POUTINE HOUSE, EDMONTON",17.49,Dining
2023-05-05,"UOFA KSR PAYMENTS, EDMONTON",340.2,Sports
2023-05-05,"TIM HORTONS #1335, EDMONTON",4.19,Dining
2023-05-05,"POPEYES #13700, EDMONTON",15.74,Dining
2023-05-02,"NEW EVEREST, EDMONTON",15.73,Dining
2023-05-01,"DOMINOS 10116, 780-496-9924",26.46,Dining
2023-05-01,"BROOK'S NF #3811, EDMONTON",55.46,Grocery
2023-04-30,"Mogouyan Hand Pulled N, Edmonton",22.24,Dining
2023-04-30,"TIM HORTONS #1335, EDMONTON",10.27,Dining
2023-04-30,"TIM HORTONS #1335, EDMONTON",5.24,Dining
2023-04-30,"SQ *YELO?D ICE CREAM AND, EDMONTON",8.88,Dining
2023-04-29,"TIM HORTONS #2665, EDMONTON",2.99,Dining
2023-04-29,"MARSHALLS 788, EDMONTON",57.73,Clothes
2023-04-29,"TIM HORTONS #1335, EDMONTON",2.99,Dining
2023-04-29,"ALDO #1070, EDMONTON",105.0,Clothes
2023-04-28,WWW.F1.COM,9.99,Entertainment
2023-04-28,"BROOK'S NF #3811, EDMONTON",86.99,Grocery
2023-04-27,"EVENTBRITE/ZINDAGINAMI, SAINT JOHN",17.31,Entertainment
2023-04-27,"SQ *HANJAN, Edmonton",35.63,Dining
2023-04-26,"LA CARRAIA GELATERIA, EDMONTON",6.77,Dining
2023-04-25,"BELL MOBILITY, VERDUN",76.89,Subscription
2023-04-23,"Subway 22085, Edmonton",14.69,Dining
2023-04-23,"Subway 33432, Edmonton",16.68,Dining
2023-04-19,"BROOK'S NF #3811, EDMONTON",65.78,Grocery
2023-04-19,"Subway 22085, Edmonton",14.69,Dining
2023-04-18,"VEGAS DONAIR & POUTINE, EDMONTON",9.45,Dining
2023-04-16,LIM*RIDE COST,6.25,Entertainment
2023-04-16,LIM*RIDE COST,8.35,Entertainment
2023-04-16,LIM*RIDE COST,5.83,Entertainment
2023-04-16,"SQ *MADE BY MARCUS WHYTE, Edmonton",6.0,Dining
2023-04-15,"SEOUL FRIED CHICKEN, EDMONTON",15.49,Dining
2023-04-13,LIM*RIDE COST,8.35,Entertainment
2023-04-10,"MOUNTAIN WAREHOUSE, EDMONTON",104.95,Clothes
2023-04-09,"DOLLARAMA # 473, EDMONTON",1.58,Grocery
2023-04-09,"BROOK'S NF #3811, EDMONTON",49.26,Grocery
2023-04-09,"SAVE ON FOODS #6662, EDMONTON",4.47,Grocery
2023-04-08,"Amazon.ca Prime Member, amazon.ca/pri",5.24,Amazon
2023-04-03,"A&W #1566, EDMONTON",7.86,Dining
2023-04-03,"EDO JAPAN (HUB MALL), EDMONTON",16.54,Dining
2023-04-03,TMCANADA *RESALE,928.19,Entertainment
2023-04-03,"TEAPSY - HUBMALL, Edmonton",7.19,Dining
2023-04-02,"UOFA RESIDENCE SERVICES O, EDMONTON",500.0,Housing
2023-03-31,"PRIME TAX, EDMONTON",110.0,Amazon
2023-03-30,"TEAPSY - HUBMALL, Edmonton",15.44,Dining
2023-03-30,"DOMINOS 10116, EDMONTON",13.64,Dining
2023-03-29,"SAFEWAY #8895, EDMONTON",38.07,Grocery
2023-03-28,WWW.F1.COM,9.99,Entertainment
2023-03-27,"EVENTBRITE/LEADERSOFTO, SAINT JOHN",22.63,Entertainment
2023-03-27,"EVENTBRITE/TEDXUALBERT, SAINT JOHN",54.58,Entertainment
2023-03-25,"Subway 33432, Edmonton",13.43,Dining
2023-03-25,"GOOGLE*GOOGLE STORAGE, Halifax",4.19,Subscription
2023-03-24,"CHOSUN KOREAN RESTAURA, EDMONTON",11.34,Dining
2023-03-24,"Subway 33432, Edmonton",13.53,Dining
2023-03-23,"FRESON BROS #17, EDMONTON",662.4,Grocery
2023-03-23,"UOFA RESIDENCE SERVICES O, EDMONTON",25.0,Housing
2023-03-22,"CHOSUN KOREAN RESTAURA, EDMONTON",11.34,Dining
2023-03-22,"EVENTBRITE/UAHRMAPANEL, SAINT JOHN",11.98,Entertainment
2023-03-21,"CHOSUN KOREAN RESTAURA, EDMONTON",11.34,Dining
2023-03-21,"CINEPLEX 3144 QPS, EDMONTON",16.3,Entertainment
2023-03-20,"BROOK'S NF #3811, EDMONTON",84.88,Grocery
2023-03-18,"BELL MOBILITY, VERDUN",80.94,Subscription
2023-03-17,"EVENTBRITE/ENTREPRENEU, SAINT JOHN",49.26,Entertainment
2023-03-17,"EVENTBRITE/BUSINESSUNU, SAINT JOHN",17.31,Entertainment
2023-03-17,"Subway 22085, Edmonton",16.76,Dining
2023-03-16,"A&W #1566, EDMONTON",7.86,Dining
2023-03-16,GOOGLE*GOOGLE STORAGE,2.93,Subscription
2023-03-16,"NEW YORK FRIES, EDMONTON",12.59,Dining
2023-03-15,"SQ *BUSINESS STUDENTS' AS, 8774174551",72.1,Entertainment
2023-03-11,"BROOK'S NF #3811, EDMONTON",81.23,Grocery
2023-03-10,"CHOSUN KOREAN RESTAURA, EDMONTON",11.34,Dining
2023-03-09,"DOMINOS 10116, EDMONTON",13.64,Dining
2023-03-08,"Amazon.ca Prime Member, amazon.ca/pri",5.24,Amazon
2023-03-05,"DOMINOS 10116, EDMONTON",21.26,Dining
2023-02-28,WWW.F1.COM,9.99,Entertainment
2023-01-30,"BROOK'S NF #3811, EDMONTON",76.16,Grocery
2023-01-28,"EDO JAPAN (HUB MALL), EDMONTON",12.08,Dining
2023-01-28,WWW.F1.COM,9.99,Entertainment
2023-01-26,"EVENTBRITE/ALBERTAINTE, SAINT JOHN",20.0,Entertainment
2023-01-23,"EVENTBRITE/JANUARYMONT, SAINT JOHN",15.0,Entertainment
2023-01-22,"BROOK'S NF #3811, EDMONTON",47.93,Grocery
2023-01-20,"A&W #1566, EDMONTON",13.63,Dining
2023-01-16,"GOOGLE*GOOGLE STORAGE, Halifax",2.93,Subscription
2023-01-14,"EVENTBRITE/TALKTECHWIT, SAINT JOHN",11.98,Entertainment
2023-01-11,"BROOK'S NF #3811, EDMONTON",68.91,Grocery
2023-01-09,"SAFEWAY #8895, EDMONTON",28.47,Grocery
2023-01-08,"Amazon.ca Prime Member, amazon.ca/pri",5.24,Amazon
2023-01-03,"BROOK'S NF #3811, EDMONTON",58.33,Grocery
2023-01-01,"BOSTON PIZZA #106, DRUMHELLER",30.04,Dining
2023-01-01,"MYHRE, CALGARY",26.57,Dining
2022-12-31,"MR. SUB #130, CALGARY",9.54,Dining
2022-12-31,"SAFEWAY #8812, CALGARY",19.25,Grocery
2022-12-30,"COCO FRESH TEA & JUICE, CALGARY",7.34,Dining
2022-12-29,"SS CALGARY 6TH AVENUE, CALGARY",19.67,Entertainment
2022-12-29,"SOURCE 58920, CALGARY",7.43,Technology
2022-12-29,"SQ *GAO BADMINTON TAO / S, Calgary",15.0,Entertainment
2022-12-28,"NAMSAN KOREAN CUISINE, CALGARY",25.36,Dining
2022-12-28,"RIDER EXPRESS/RIDER EX, REGINA",39.96,Transportation
2022-12-28,"COCO FRESH TEA & JUICE, CALGARY",7.34,Dining
2022-12-28,WWW.F1.COM,9.99,Entertainment
2022-12-28,"TIM HORTONS #1335, EDMONTON",0.35,Dining
2022-12-28,"Busbud, Montreal",21.95,Transportation
2022-12-28,"Busbud, Montreal",21.95,Transportation
2022-12-28,"U OF A ONECARD, 780-492-3572",15.0,Education
2022-12-27,"OLD NAVY CANADA 3463, EDMONTON",120.71,Clothes
2022-12-27,"Subway 51161, Edmonton",14.27,Dining
2022-12-24,"FIDO Mobile ******4796, 888-481-3436",48.25,Subscription
2022-12-23,"BOURBON STREET GRILL, EDMONTON",12.17,Dining
2022-12-21,"THE PINT OFF WHYTE, EDMONTON",25.78,Dining
2022-12-18,"UOFA BUSINESS CAREER SERV, EDMONTON",150.0,Education
2022-12-16,GOOGLE*GOOGLE STORAGE,2.93,Subscription
2022-12-14,"22585 MACS CONV. STORES, EDMONTON",11.82,Grocery
2022-12-10,"SAVE ON FOODS #6613, EDMONTON",36.51,Grocery
2022-12-09,"COSMIC PIZZA & DONAIR, EDMONTON",10.48,Dining
2022-12-08,"Subway 33432, Edmonton",8.7,Dining
2022-12-08,"Amazon.ca Prime Member, amazon.ca/pri",5.24,Amazon
2022-12-06,"A&W #1566, EDMONTON",11.63,Dining
2022-12-05,DD/DOORDASHBARBURRITO,21.61,Dining
2022-12-05,IC* INSTACART,51.51,Grocery
2022-12-05,"IC* INSTACART, HALIFAX MID-H",54.86,Grocery
2022-12-05,IC* INSTACART,2.13,Grocery
2022-12-03,UBER* EATS,25.3,Transportation
2022-12-02,UBER CANADA/UBEREATS,3.79,Transportation
2022-12-02,DD/DOORDASHASIANFLAME,26.4,Dining
2022-11-28,WWW.F1.COM,9.99,Entertainment
2022-11-28,"MOUNTAIN WAREHOUSE, EDMONTON",132.66,Clothes
2022-11-28,"MOUNTAIN WAREHOUSE, EDMONTON",151.19,Clothes
2022-11-26,"SAFEWAY #8895, EDMONTON",30.74,Grocery
2022-11-26,"VEGAS DONAIR & POUTINE, EDMONTON",10.93,Dining
2022-11-26,"BROOK'S NF #3811, EDMONTON",34.78,Grocery
2022-11-26,"22585 MACS CONV. STORES, EDMONTON",6.69,Grocery
2022-11-24,"COSMIC PIZZA & DONAIR, EDMONTON",10.5,Dining
2022-11-24,"FIDO Mobile ******4796, 888-481-3436",48.25,Subscription
2022-11-23,"Subway 22085, Edmonton",12.48,Dining
2022-11-23,"SAVOY`S EXPRESS, EDMONTON",14.69,Dining
2022-11-23,"UOFA BUSINESS CAREER SERV, EDMONTON",50.0,Education
2022-11-21,"EVENTBRITE/LEADERSOFTO, SAINT JOHN",11.62,Entertainment
2022-11-21,"EVENTBRITE/ICACONSULTI, SAINT JOHN",30.0,Entertainment
2022-11-19,"NEW EVEREST, EDMONTON",17.08,Dining
2022-11-19,"#314 SPORT CHEK, EDMONTON",23.08,Sports
2022-11-17,"VEGAS DONAIR & POUTINE, EDMONTON",10.93,Dining
2022-11-16,GOOGLE*GOOGLE STORAGE,2.93,Subscription
2022-11-16,"SAVOY`S EXPRESS, EDMONTON",14.69,Dining
2022-11-15,"UOFA REGISTRAR'S OFFICE, EDMONTON",75.0,Education
2022-11-15,"UOFA REGISTRAR'S OFFICE, EDMONTON",75.0,Education
2022-11-13,"CHIANTI CAFE & RESTAURANT, EDMONTON",29.59,Dining
2022-11-12,"MCDONALD'S #23193, EDSON",3.98,Dining
2022-11-12,"MCDONALD'S #23193, EDSON",9.12,Dining
2022-11-11,"AROUND THE CORNER, JASPER",22.04,Dining
2022-11-10,"Subway 16903, Jasper",14.69,Dining
2022-11-10,"ANDAAZ INDIAN CUISINE, JASPER",27.45,Dining
2022-11-09,"EVEREST OUTDOOR STORES, JASPER",68.2,Sports
2022-11-08,"JASPER BREWING COMPANY, JASPER",15.0,Dining
2022-11-08,"Amazon.ca Prime Member, amazon.ca/pri",5.24,Amazon
2022-11-07,"SQ *COCO'S CAFE #1939721, JASPER",6.56,Dining
2022-11-07,"SMITTY'S FAMILY RESTAU, JASPER",23.09,Dining
2022-11-07,"SQ *COCO'S CAFE #1939721, JASPER",7.09,Dining
2022-11-05,"H&M CA#045 - SOUTHGATE, EDMONTON",137.0,Clothes
2022-11-05,"MCDONALD'S #23193, EDSON",14.46,Dining
2022-11-04,"BEST BUY #33, EDMONTON",1060.45,Technology
2022-11-04,"UALBERTA BOOKSTORE, EDMONTON",31.5,Education
2022-11-04,"LONG & MCQUADE, EDMONTON WHYT",69.3,Amazon
2022-11-04,"SAVE ON FOODS #6613, EDMONTON",15.88,Grocery
2022-11-03,"AMZN Mktp CA*H02YX1QB2, WWW.AMAZON.CA",134.36,Amazon
2022-10-29,"BROOK'S NF #3811, EDMONTON",14.27,Grocery
2022-10-29,"MUTTART #2, EDMONTON",6.3,Entertainment
2022-10-29,"MUTTART #1, EDMONTON",14.95,Entertainment
2022-10-28,"DOLLARAMA # 473, EDMONTON",2.63,Grocery
2022-10-28,WWW.F1.COM,7.99,Entertainment
2022-10-28,"BROOK'S NF #3811, EDMONTON",80.44,Grocery
2022-10-28,"22585 MACS CONV. STORES, EDMONTON",1.98,Grocery
2022-10-24,"FIDO Mobile ******4796, 888-481-3436",48.25,Subscription
2022-10-24,"SAVOY`S EXPRESS, EDMONTON",15.74,Dining
2022-10-24,"VEGAS DONAIR & POUTINE, EDMONTON",8.93,Dining
2022-10-17,"IN *LIVE IT UP LIFESTYLE, 780-7327200",185.0,Entertainment
2022-10-16,GOOGLE*GOOGLE STORAGE,2.93,Subscription
2022-10-15,"VEGAS DONAIR & POUTINE, EDMONTON",8.93,Dining
2022-10-08,"Amazon.ca Prime Member, amazon.ca/pri",5.24,Amazon
2022-10-08,"DOLLARAMA # 473, EDMONTON",4.99,Grocery
2022-10-08,"BROOK'S NF #3811, EDMONTON",61.85,Grocery
2022-10-08,"ROSSO PIZZERIA, EDMONTON",22.35,Dining
2022-10-07,"SAVOY`S EXPRESS, EDMONTON",14.69,Dining
2022-10-06,"ASIAN FLAME, EDMONTON",14.7,Dining
2022-10-02,"WAL-MART SUPERCENTER#1149, EDMONTON",98.57,Grocery
2022-10-02,"ZARA WEM #3381, EDMONTON",24.04,Clothes
2022-10-02,"H & M CA #036 WEST EDM, EDMONTON",36.74,Clothes
2022-10-01,"MENCHIE'S FROZEN YOGUR, EDMONTON",11.38,Dining
2022-10-01,"THE SUGAR BOWL, EDMONTON",24.38,Dining
2022-10-01,"ROYAL AB MUSEUM, EDMONTON",21.0,Entertainment
2022-09-30,"CENTRAL SOCIAL HALL, EDMONTON",33.75,Dining
2022-09-30,"479WINNERS, EDMONTON",41.98,Clothes
2022-09-30,"MIKES FAMOUS (ICE CREAM), EDMONTON",6.29,Dining
2022-09-30,"THE SUGAR BOWL, EDMONTON",41.66,Dining
2022-09-28,"WWW.F1.COM, INTERNET",7.99,Entertainment
2022-09-26,"H & W PRODUCE, EDMONTON",60.3,Grocery
2022-09-24,"FIDO Mobile ******4796, 888-481-3436",48.25,Subscription
2022-09-21,"AMZN Mktp CA*1M3NE5W50, WWW.AMAZON.CA",25.19,Amazon
2022-09-20,"WAL*MART CANADA INC, MISSISSAUGA",95.34,Grocery
2022-09-20,"Amazon.ca*1M5AS98Q2, AMAZON.CA",5.64,Amazon
2022-09-20,"AMZN Mktp CA*1M4MT0WB1, WWW.AMAZON.CA",16.79,Amazon
2022-09-19,"STAPLES.CA, MISSISSAUGA",162.74,Technology
2022-09-17,"THE SUGAR BOWL, EDMONTON",30.19,Dining
2022-09-16,"GOOGLE*GOOGLE STORAGE, INTERNET",2.93,Subscription
2022-09-15,"COSMIC PIZZA & DONAIR, EDMONTON",10.48,Dining
2022-09-12,"ASIAN FLAME, EDMONTON",17.33,Dining
2022-09-10,"ALBERTAAVIATIONMUSEUM., EDMONTON",17.85,Entertainment
2022-09-10,"THE ALLEY BREWERY, EDMONTON",7.09,Dining
2022-09-08,"Amazon.ca Prime Member, amazon.ca/pri",5.24,Amazon
2022-09-04,"THE SHERLOCK HOLMES RESTA, EDMONTON",18.9,Dining
2022-09-04,"EVENTBRITE/JDCWESTALUM, SAINT JOHN",15.0,Entertainment
2022-09-02,"SIR WINSTONS FISH & CHIPS, EDMONTON",10.5,Dining
2022-09-02,"SQ *WHITE RABBIT ICE CREA, Edmonton",7.56,Dining
2022-09-01,"SQ *MIDWAY MUSIC HALL GOS, Edmonton",5.25,Entertainment
2022-08-29,"A&W #1360, EDSON",4.19,Dining
2022-08-29,"SQ *COCO'S CAFE #1939721, JASPER",6.56,Dining
2022-08-28,"3642MONTANAS #3642, JASPER",27.85,Amazon
